Headword,First Element,Definition,Part of Speech,Semantic Group,Frequency Rank
voluntās -ātis f.,voluntas,"wish, desire",Noun: 3rd Declension,Emotions,859
voluptās -ātis f.,voluptas,"pleasure, enjoyment",Noun: 3rd Declension,Social Life,378
vōs,vos,"you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,130
vōtum -ī n.,votum,"solemn promise, vow; hope",Noun: 2nd Declension,Religion,334
vōx vōcis f.,vox,"voice, utterance",Noun: 3rd Declension,Speech/Oratory,169
urbs urbis f.,urbs,city,Noun: 3rd Declension,The City,82
ūsque,usque,up to; continuously,Adverb,Time,527
ūsus -ūs m.,usus,"use, experience",Noun: 4th Declension,Education/Knowledge,446
"ut, utī",ut,"as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how!",Adverb,Conjunctions/Adverbs,15
uterque utraque utrumque,uterque,each of two,Conjunction,Measurement,243
ūtilis -e,utilis,useful,Adjective: 3rd Declension,Making/Doing,850
ūtor ūtī ūsus sum,utor,"use, consume, employ (+ abl.)",Verb: Deponent,Making/Doing,330
utrum,utrum,whether; utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs,827
vulgō,vulgo,commonly,Adverb,The City,991
vulgus -ī n. and m.,vulgus,the common people,Noun: 2nd Declension,The City,675
vulnus -eris n.,vulnus,wound,Noun: 3rd Declension,Violence,327
vultus -ūs m.,vultus,"look, expression, face",Noun: 4th Declension,The Body,209
uxor uxōris f.,uxor,wife,Noun: 3rd Declension,The Household,552
